automation_id,testrail_case_id,title,section_id,timestamp
2db3b2d8-3394-46b9-b135-9af0a71e9548,81254,Append a build to the existing customer,9101,2025-12-24T00:05:28.334558
e026364d-efd2-4d2a-acb8-7769f114b1d4,81252,Delete build by Id and Email,9101,2025-12-24T00:05:27.310781
c72136ee-0170-4f95-83c1-bd1aec1009df,81253,Get All Builds By Id or Email,9101,2025-12-24T00:05:27.935796
5aa5d8bf-1bbd-4ffd-8340-8c0c104cc585,81250,HealthCheck_GET,9099,2025-12-24T00:05:26.473593
195e8aed-2ec4-467e-ad2f-6e40f7dd849d,81258,POST/contFleet/SMTP Down (Error Handling),9106,2025-12-24T00:05:30.447814
5b5b46c6-2946-4188-9d9a-f3e44ce1afa5,81257,POST/contFleet/Valid Submission (200 Success)-HappyPath,9105,2025-12-24T00:05:30.047757
d7520b5c-b1d4-46d7-92c3-2b780579785c,81231,RAQ-Build & Price,9108,2025-12-23T23:18:51.563316
31ee31e4-183a-4283-a512-004bd42f61d9,81259,RAQ-Build & Price [NF-P],9108,2025-12-24T00:05:30.840979
ddec9618-02e8-45b9-988e-dfbbc637ee82,81234,RAQ-Inventory Search,9108,2025-12-23T23:18:53.174531
7ed63cba-b2c9-4b67-9eb2-bb2e4dcd7d0f,81262,RAQ-Inventory Search [NF-P],9108,2025-12-24T00:05:32.067199
5079ae00-9014-48f9-9e6f-d84a045f96b4,81232,RAQ-Reserve a Test Drive,9108,2025-12-23T23:18:51.960191
47680e98-cfe7-4db1-ba7f-a8e53edbaf21,81260,RAQ-Reserve a Test Drive [NF-P],9108,2025-12-24T00:05:31.252591
76081327-39bd-462e-8faf-a5f9eb26a990,81233,RAQ-Shopping Tools,9108,2025-12-23T23:18:52.566340
7855d850-23e1-4b8d-ae54-6aeed97c99dd,81261,RAQ-Shopping Tools [NF-P],9108,2025-12-24T00:05:31.651153
5c39c6b4-ab45-44c8-86f7-5cedcac6da0a,81251,Save a build,9101,2025-12-24T00:05:26.900199
415865d1-9197-4c71-9acf-a31454291915,81255,save kmu details,9103,2025-12-24T00:05:28.730334
97760453-91fc-4070-a1ff-d869ff8dab6b,81235,save raq details,9108,2025-12-23T23:18:53.785659
ed94d85b-6716-425e-a465-59285e0b21ac,81263,save raq details [NF-P],9108,2025-12-24T00:05:32.626273
fcce78d7-b642-493f-8511-5cabc8f7a9e4,81249,test-prueba,9108,2025-12-23T23:55:05.546586
aa0b455d-7cb1-4ff0-ab1c-624ae3433572,81256,test-prueba renamed-relocated,9109,2025-12-24T00:05:29.642436
