automation_id,testrail_case_id,title,section_id,timestamp
e93f79b9-34ed-499c-a407-da9f16a69ed7,81223,HealthCheck_GET,9099,2025-12-23T23:18:44.810835
0c5367b4-78d5-464f-af9c-8527b8f44d14,81224,Save a build,9101,2025-12-23T23:18:46.000013
cbff3dfb-5e6e-4db3-b118-b35404658224,81225,Delete build by Id and Email,9101,2025-12-23T23:18:46.411094
feed6369-9f60-4456-b26c-e03762990b2a,81226,Get All Builds By Id or Email,9101,2025-12-23T23:18:47.085382
186da99f-26a1-4751-8900-a468e49c1ed2,81227,Append a build to the existing customer,9101,2025-12-23T23:18:47.653760
28becc92-b80a-4ce8-bbbb-3fd139db1456,81228,save kmu details,9103,2025-12-23T23:18:48.673875
f769762d-2c3e-44f3-83ec-872f3f717813,81229,POST/contFleet/Valid Submission (200 Success)-HappyPath,9105,2025-12-23T23:18:49.656525
e8183a66-2b99-4f5d-b6d1-10a0edfb289d,81230,POST/contFleet/SMTP Down (Error Handling),9106,2025-12-23T23:18:50.365308
d7520b5c-b1d4-46d7-92c3-2b780579785c,81231,RAQ-Build & Price,9108,2025-12-23T23:18:51.563316
5079ae00-9014-48f9-9e6f-d84a045f96b4,81232,RAQ-Reserve a Test Drive,9108,2025-12-23T23:18:51.960191
76081327-39bd-462e-8faf-a5f9eb26a990,81233,RAQ-Shopping Tools,9108,2025-12-23T23:18:52.566340
ddec9618-02e8-45b9-988e-dfbbc637ee82,81234,RAQ-Inventory Search,9108,2025-12-23T23:18:53.174531
97760453-91fc-4070-a1ff-d869ff8dab6b,81235,save raq details,9108,2025-12-23T23:18:53.785659
1e972c00-6a64-4c49-92df-958e3636383a,81236,HealthCheck_GET,9099,2025-12-23T23:54:58.788244
f1b1d260-e6c7-4b0b-9053-445c2fc5179b,81237,Save a build,9101,2025-12-23T23:54:59.409626
e20ac8b8-64c8-4eee-bcf8-60d382559f92,81238,Delete build by Id and Email,9101,2025-12-23T23:54:59.801774
2e67faa9-d380-4287-904e-e1d46f85f6a9,81239,Get All Builds By Id or Email,9101,2025-12-23T23:55:00.400108
9460a7d0-e85b-4e9c-89ad-e3c1d2a48481,81240,Append a build to the existing customer,9101,2025-12-23T23:55:00.797795
fbef8b7f-33f3-4274-ac27-c446bc447c61,81241,save kmu details,9103,2025-12-23T23:55:01.352280
394ab498-5495-46ad-a7a0-5e357b15d01f,81242,POST/contFleet/Valid Submission (200 Success)-HappyPath,9105,2025-12-23T23:55:01.909373
8276d051-c99b-4e58-89ce-0be147f2cb1f,81243,POST/contFleet/SMTP Down (Error Handling),9106,2025-12-23T23:55:02.454213
b8752b21-1c95-41ae-b000-4b254c6952b9,81244,RAQ-Build & Price [NF-P],9108,2025-12-23T23:55:02.984498
6b8d736d-24b4-4d54-b877-89fcfde14c65,81245,RAQ-Reserve a Test Drive [NF-P],9108,2025-12-23T23:55:03.515109
5fe5749e-bc63-4e9e-aff6-7d5a2ebd1775,81246,RAQ-Shopping Tools [NF-P],9108,2025-12-23T23:55:03.904572
01a19acb-a0d5-418d-95da-e1314f87f463,81247,RAQ-Inventory Search [NF-P],9108,2025-12-23T23:55:04.467090
f5799166-d425-4587-b344-e88f49ba5200,81248,save raq details [NF-P],9108,2025-12-23T23:55:05.024275
fcce78d7-b642-493f-8511-5cabc8f7a9e4,81249,test-prueba,9108,2025-12-23T23:55:05.546586
5aa5d8bf-1bbd-4ffd-8340-8c0c104cc585,81250,HealthCheck_GET,9099,2025-12-24T00:05:26.473593
5c39c6b4-ab45-44c8-86f7-5cedcac6da0a,81251,Save a build,9101,2025-12-24T00:05:26.900199
e026364d-efd2-4d2a-acb8-7769f114b1d4,81252,Delete build by Id and Email,9101,2025-12-24T00:05:27.310781
c72136ee-0170-4f95-83c1-bd1aec1009df,81253,Get All Builds By Id or Email,9101,2025-12-24T00:05:27.935796
2db3b2d8-3394-46b9-b135-9af0a71e9548,81254,Append a build to the existing customer,9101,2025-12-24T00:05:28.334558
415865d1-9197-4c71-9acf-a31454291915,81255,save kmu details,9103,2025-12-24T00:05:28.730334
aa0b455d-7cb1-4ff0-ab1c-624ae3433572,81256,test-prueba renamed-relocated,9109,2025-12-24T00:05:29.642436
5b5b46c6-2946-4188-9d9a-f3e44ce1afa5,81257,POST/contFleet/Valid Submission (200 Success)-HappyPath,9105,2025-12-24T00:05:30.047757
195e8aed-2ec4-467e-ad2f-6e40f7dd849d,81258,POST/contFleet/SMTP Down (Error Handling),9106,2025-12-24T00:05:30.447814
31ee31e4-183a-4283-a512-004bd42f61d9,81259,RAQ-Build & Price [NF-P],9108,2025-12-24T00:05:30.840979
47680e98-cfe7-4db1-ba7f-a8e53edbaf21,81260,RAQ-Reserve a Test Drive [NF-P],9108,2025-12-24T00:05:31.252591
7855d850-23e1-4b8d-ae54-6aeed97c99dd,81261,RAQ-Shopping Tools [NF-P],9108,2025-12-24T00:05:31.651153
7ed63cba-b2c9-4b67-9eb2-bb2e4dcd7d0f,81262,RAQ-Inventory Search [NF-P],9108,2025-12-24T00:05:32.067199
ed94d85b-6716-425e-a465-59285e0b21ac,81263,save raq details [NF-P],9108,2025-12-24T00:05:32.626273
